Россия;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
1141;МегаКом;4,77;rur;0,6;usd
1151;Бител;11,13;rur;1;usd
1151;МегаКом;7,95;rur;1;usd
1161;Бител;32,39;rur;3;usd
1161;МегаКом;23,15;rur;3;usd
1171;Бител;52,1;rur;4,75;usd
1171;МегаКом;37,22;rur;4,75;usd

Латвия;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
1871;Bite;5,73;rur;0,71;usd
1872;Bite;11,05;rur;1,21;usd
1873;Bite;36,34;rur;3,84;usd
1874;Bite;57,34;rur;5,86;usd

Латвия(Lmt);
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
1871;Lmt (Латвия);6,87;rur;0,6;usd
1872;Lmt (Латвия);12,22;rur;1;usd
1873;Lmt (Латвия);40,7;rur;3,6;usd
1874;Lmt (Латвия);61,8;rur;5,3;usd
29301199:300;Lmt (Латвия);51,04;rur;3;lvl

Латвия(TELE2);
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
1871;Tele-2 (Латвия);1,81;rur;0,6;usd
1872;Tele-2 (Латвия);5,73;rur;1;usd
1873;Tele-2 (Латвия);26,59;rur;3,6;usd
1874;Tele-2 (Латвия);41,66;rur;5,3;usd
26000613:300;Tele-2 (Латвия);31,89;rur;3;lvl

Литва;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
1381;Bite (Литва);3,8;rur;0,33;usd
1381;Omnitel (Литва);3,84;rur;0,41;usd
1381;Tele-2 (Литва);1,52;rur;0,41;usd
1390:1000;Bite (Литва);6,73;rur;10;ltl
1390:1000;Omnitel (Литва);28,1;rur;10;ltl
1390:1000;Tele-2 (Литва);28,1;rur;10;ltl
1391;Bite (Литва);13,26;rur;1,17;usd
1391;Omnitel (Литва);13,84;rur;1,24;usd
1391;Tele-2 (Литва);9,43;rur;1,24;usd
1635;Bite (Литва);32,19;rur;2,83;usd
1635;Omnitel (Литва);40,39;rur;2,89;usd
1635;Tele-2 (Литва);29,19;rur;3,3;usd
1645;Bite (Литва);44,29;rur;4,21;usd
1645;Omnitel (Литва);58,45;rur;4,12;usd
1645;Tele-2 (Литва);34,29;rur;4,12;usd

Эстония;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
13202:5000;Elisa (Эстония);38,53;rur;50;eek
13202:5000;Emt (Эстония);38,53;rur;50;eek
13202:5000;Tele-2 (Эстония);38,53;rur;50;eek
17010;Elisa (Эстония);4,52;rur;0,4;usd
17010;Emt (Эстония);4,18;rur;0,4;usd
17010;Tele-2 (Эстония);4,18;rur;0,4;usd
17011;Elisa (Эстония);15,69;rur;1;usd
17011;Emt (Эстония);14,64;rur;1;usd
17011;Tele-2 (Эстония);13,59;rur;1;usd
17012;Elisa (Эстония);36,62;rur;2,6;usd
17012;Emt (Эстония);39,05;rur;2,6;usd
17012;Tele-2 (Эстония);39,05;rur;2,6;usd
17013;Elisa (Эстония);57,45;rur;3,5;usd
17013;Emt (Эстония);57,45;rur;3,5;usd
17013;Tele-2 (Эстония);50,27;rur;3,5;usd

Бельгия;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
7796;Base;23,14;rur;2,5;usd
7796;Mobistar;26,33;rur;2,5;usd
7796;Proximus;27,94;rur;2,5;usd

Франция;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
83868;Bouygues;45,52;rur;3,8;usd
83868;Orange;44,87;rur;3,8;usd
83868;Sfr;46,14;rur;3,8;usd

Австрия;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
0930399999;Hutchinson;36,95;rur;2,49;usd
0930399999;Mobilkom;30,93;rur;2,49;usd
0930399999;One;31,86;rur;2,49;usd
0930399999;T-Mobile;39,05;rur;2,49;usd
0930399999;Tele2;21,55;rur;2,49;usd
0930399999;Telering;34,05;rur;2,49;usd

Великобритания;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
69067;O2;45,25;rur;3,4;usd
69067;Orange;44,61;rur;3,4;usd
69067;T-Mobile/Virgin;25,67;rur;3,4;usd
69067;Three;43,52;rur;3,4;usd
69067;Vodafone;45,37;rur;3,4;usd
79067;O2;120,75;rur;8,5;usd
79067;Orange;118,9;rur;8,5;usd
79067;T-Mobile/Virgin;66,35;rur;8,5;usd
79067;Three;119,02;rur;8,5;usd
79067;Vodafone;117,74;rur;8,5;usd

Германия;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
44442;debitel;11,16;rur;1;usd
44442;E-Plus;12,71;rur;1;usd
44442;Mobilcom;12,61;rur;1;usd
44442;O2;12,39;rur;1;usd
44442;Phonehouse;12,93;rur;1;usd
44442;T-Mobile;14,22;rur;1;usd
44442;Vodafone;12,84;rur;1;usd
80888;debitel;30,69;rur;2,6;usd
80888;E-Plus;28,18;rur;2,6;usd
80888;Mobilcom;28,93;rur;2,6;usd
80888;O2;30,03;rur;2,6;usd
80888;Phonehouse;26,95;rur;2,6;usd
80888;T-Mobile;27,98;rur;2,6;usd
80888;Vodafone;29,34;rur;2,6;usd

Голландия (Нидерланды);
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
7117;KPN;19,26;rur;2;usd
7117;Orange;18,13;rur;2;usd
7117;T-Mobile;17,28;rur;2;usd
7117;Tele2;20,46;rur;2;usd
7117;Telfort;16,69;rur;2;usd
7117;Vodafone;18,98;rur;2;usd

Израиль;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
4545;Израиль;21,03;rur;2,5;usd

Испания;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
5339;Euskaltel;16,13;rur;1,9;usd
5339;Movistar;23,43;rur;1,9;usd
5339;Orange;17,71;rur;1,9;usd
5339;R;22,67;rur;1,9;usd
5339;Telecable;18,75;rur;1,9;usd
5339;Vodafone;18,33;rur;1,9;usd
5339;Yoigo;20,92;rur;1,9;usd

Норвегия;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
2322;NetCom;36,68;rur;3,1;usd
2322;Tele2;36,68;rur;3,1;usd
2322;Telenor;35,84;rur;3,1;usd
2322;Ventelo;36,18;rur;3,1;usd

Польша;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
7910;Era;37,64;rur;4;usd
7910;Orange;37,64;rur;4;usd
7910;Play;37,64;rur;4;usd
7910;Plus;37,64;rur;4;usd

Португалия;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
4565;Optimus;28,92;rur;2,6;usd
4565;TMN;27,9;rur;2,6;usd
4565;Vodafone;28,92;rur;2,6;usd

Финляндия;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
179479;DNA;37,64;rur;2,5;usd
179479;Elisa;39,71;rur;2,5;usd
179479;Saunalahti;40,35;rur;2,5;usd
179479;Sonera;40,98;rur;2,5;usd

Чехия;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
9090150;O2;26,75;rur;2,2;usd
9090150;T-Mobile;26,75;rur;2,2;usd
9090150;Vodafone;21,65;rur;2,2;usd
9090199;O2;63,21;rur;4,35;usd
9090199;T-Mobile;54,02;rur;4,35;usd
9090199;Vodafone;53,11;rur;4,35;usd

Швеция;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
72170;Tele2;38,11;rur;2,6;usd
72170;Telenor;35,96;rur;2,6;usd
72170;Telia;38,32;rur;2,6;usd
72170;Tre;38,64;rur;2,6;usd

Армения;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
1121;Armentel;32,81;rur;0;rur
1121;Vivacell;32,43;rur;0;rur
1141;Armentel;4,12;rur;200;amd
1141;Vivacell;3,77;rur;200;amd
1151;Armentel;6,96;rur;333,32;amd
1151;Vivacell;6,61;rur;333,32;amd
1161;Armentel;21,17;rur;1000;amd
1161;Vivacell;20,82;rur;1000;amd
1171;Armentel;31,86;rur;1416,61;amd
1171;Vivacell;31,49;rur;1416,61;amd

Азербайджан;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
9012;Azercell;11,07;rur;1,4;usd
9013;Azercell;27,68;rur;3,6;usd
9014;Azercell;46,13;rur;6;usd

Болгария;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
1098;GloBul;15,6;rur;1,3;usd
1098;Mtel;5,47;rur;1,3;usd
1098;Vivatel;7,13;rur;1,3;usd

Венгрия;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
90645045;Pannon;33,98;rur;3,6;usd
90645045;T-Mobile;33,98;rur;3,6;usd
90645045;Vodafone;33,57;rur;3,6;usd

Терминалы;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
1151;Roboexchange;19,26;rur;0;rur
1161;Roboexchange;56,04;rur;0;rur

Дания;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
1945;Sonofon;40,87;rur;3;usd
1945;TDC;35,1;rur;3;usd
1945;Telia;40,87;rur;3;usd
1945;Tre;40,87;rur;3;usd

